!sil	▁ J
counter	▁w e AL o
counteract	▁w e AL fG bwL
counterfeit	▁w e AL o q tL
counterpart	▁w e AL o F aGL
counterparts	▁w e AL o F aGL H
counters	▁w e AL oS
counties	▁w e AL uS
counting	▁w e AL tB
countless	▁w e AL x tH
countr-	▁wc AL G
countries	▁wc AL Gu S
countries'	▁wc AL Gu S
countrified	▁wc AL G tq gj
country	▁wc AL Gu
country's	▁wc AL Gu S
countrymen	▁wc AL Gu z lA
countryside	▁wc AL Gu H gj
counts	▁w e AL H
county	▁w eA u
county	▁w e AL u
county's	▁w e AL uS
coup	▁w O
coup-	▁wc F
coupe	▁w O F
couple	▁wc F m
couple's	▁wc F m S
coupled	▁wc F m j
couples	▁wc F m S
coupon	▁w O F aA
coupons	▁w O F aA S
cour-	▁wDG
cour-	▁w NG
courage	▁wc G tv
courageous	▁w fG p v tH
courier	▁w N Gu o
couriering	▁w NG R fG tB
course	▁wDGH
courses	▁wDGH tS
court	▁w DGL
court's	▁w DGL H
courteous	▁w oL u fH
courtesies	▁w oL fH uS
courtesy	▁w oL fH u
courthouse	▁w DGL s e H
courtroom	▁w DGL G O z
courts	▁w DGL H
courtyard	▁w DGL R aGj
couscous	▁w O H w O H
cousin	▁wcS tA
cousin's	▁wcS tA S
cousins	▁wcS tA S
cousins'	▁wcS tA S
cov-	▁wc P
cove	▁w D P
covenants	▁wc P fA tAL H
cover	▁wc Po
cover-ups	▁wc P fG c F H
coverage	▁wc P fG tv
coverages	▁wc P G tv tS
covered	▁wc Po j
covering	▁wc P fG tB
coverings	▁wc P fG tB S
covers	▁wc Po S
covert	▁w D Po L
coves	▁w D P S
cow	▁w e
cow-	▁w e
cowb-	▁w e h
cowboy	▁w e h E
cowboy's	▁w e h E S
cowboys	▁w e h E S
cowboys'	▁w e h E S
cower	▁w eo
cowgirl	▁w e r o x
cowgirls	▁w e r o x S
coworker	▁w D Q o w o
coworkers	▁w D Q o w oS
cows	▁w e S
cox	▁w a wH
coyote	▁w g DL u
coyotes	▁w g DL uS
cozumel	▁w DS fz lx
cozy	▁w DS u
cr-	▁wG
cra-	▁wG b
cra-	▁wG p
crab	▁wG b h
crabby	▁wG b hu
crabgrass	▁wG b h r G bH
crabs	▁wG b h S
crack	▁wG b w
crackdown	▁wG b w j eA
cracked	▁wG bwL
cracker	▁wG b w o
crackers	▁wG b w oS
cracking	▁wG b wtB
cracks	▁wG b wH
cradle	▁wG p j m
cradles	▁wG p j m S
craft	▁wG b qL
crafted	▁wG b qL tj
crafts	▁wG b qL H
craftsman	▁wG b qL H z fA
craftsmanship	▁wG b qL H z fA I tF
crafty	▁wG b qL u
craig	▁wG p r
crain	▁wG pA
cram	▁wG b z
crammed	▁wG b z j
cramming	▁wG b z tB
cramp	▁wG b zF
cramped	▁wG b zF L
cramps	▁wG b zF H
cranberries	▁wG bA h lGu S
cranberry	▁wG bA h lGu
crane	▁wG pA
cranes	▁wG pA S
craning	▁wG pA tB
crank	▁wG b B w
cranked	▁wG b B wL
cranking	▁wG b B wtB
cranks	▁wG b B wH
crankshaft	▁wG b B w I b qL
cranky	▁wG b B w u
crannies	▁wG bA uS
crap	▁wG b F
crappie	▁wG b F u
crappies	▁wG b F uS
crappy	▁wG b F u
crash	▁wG b I
crashed	▁wG b I L
crashes	▁wG b I tS
crashing	▁wG b I tB
crass	▁wG bH
crate	▁wG pL
crates	▁wG pL H
craved	▁wG p P j
craving	▁wG p P tB
craw	▁wG d
craw-	▁wG d
crawfish	▁wG d q tI
crawford	▁wG d q oj
crawl	▁wG dx
crawled	▁wG dx j
crawlers	▁wG dx oS
crawling	▁wG dx tB
crawls	▁wG dx S
cray	▁wG p
crayolas	▁wG p D x f S
crayon	▁wG p aA
crayons	▁wG p aA S
craz-	▁wG pS
craze	▁wG pS
crazed	▁wG pS j
crazier	▁wG pS u o
crazies	▁wG pS uS
craziest	▁wG pS u tHL
crazily	▁wG pS t xu
craziness	▁wG pS uA tH
crazy	▁wG pS u
cre	▁w Gu
cre-	▁wG l
cre-	▁w Gu
cream	▁w Gu z
creamed	▁w Gu z j
creamy	▁w Gu z u
crease	▁w Gu H
create	▁w Gu pL
created	▁w Gu pL tj
creates	▁w Gu pL H
creating	▁w Gu pL tB
creation	▁w Gu pItA
creations	▁w Gu pItA S
creative	▁w Gu pL tP
creatively	▁w Gu pL tP xu
creativeness	▁w Gu pL tP A tH
creativity	▁w Gu pL tP tLu
creator	▁w Gu pL o
creature	▁w Gu i o
creatures	▁w Gu i oS
creche	▁wG l I
credence	▁w Gu j tAH
credentials	▁wG tj lA I fx S
credibility	▁wG lj t h tx tLu
credible	▁wG lj t hfx
credit	▁wG lj tL
credited	▁wG lj tL tj
creditor	▁wG lj tL o
creditors	▁wG lj tL oS
credits	▁wG lj tLH
creedance	▁wG tj tAH
creek	▁wG tw
creek	▁w Gu w
creek's	▁wG twH
creeks	▁wG twH
creep	▁w Gu F
creeper	▁w Gu F o
creeping	▁w Gu F tB
creeps	▁w Gu F H
creepy	▁w Gu F u
creole	▁w Gu D x
creosote	▁w Gu fH DL
crepe	▁wG p F
crepes	▁wG p F H
crept	▁wG lF L
crest	▁wG lHL
crested	▁wG lHL tj
crevice	▁wG lP tH
crevices	▁wG lP tH tS
crew	▁wG O
crewed	▁wG Oj
crewel	▁wG Ox
crews	▁wG O S
cri-	▁wG g
cri-	▁wG t
crib	▁wG t h
cribbage	▁wG t h tv
cribs	▁wG t h S
crichton	▁wG gL n
cricket	▁wG tw tL
crickets	▁wG tw tLH
cried	▁wG gj
crier	▁wG gG
cries	▁wG gS
crime	▁wG gz
crime's	▁wG gz S
crimes	▁wG gz S
crimewise	▁wG gz Q gS
crimin-	▁wG tz tA
criminal	▁wG tz tA fx
criminality	▁wG tz tA bx tLu
criminals	▁wG tz tA fx S
crimp	▁wG tz F
crimps	▁wG tz F H
cringe	▁wG tA v
cringed	▁wG tA v j
cringes	▁wG tA v tS
crink	▁wG tB w
cripple	▁wG tF fx
crippled	▁wG tF fx j
cripples	▁wG tF fx S
crippling	▁wG tF fx tB
crises	▁wG g H uS
crisis	▁wG g H tH
crisp	▁wG tH F
crispness	▁wG tH F A tH
crispy	▁wG tH F u
cristos	▁wG tHL D H
crite	▁wG gL
criteria	▁wG gL u Guf
criterias	▁wG gL u Guf S
criterion	▁wG gL u Gu tA
critic	▁wG tL tw
critical	▁wG tL twfx
critically	▁wG tL tw xu
criticism	▁wG tL tH tS fz
criticisms	▁wG tL tH tS fz S
criticize	▁wG tL tH gS
criticized	▁wG tL tH gS j
criticizing	▁wG tL tH gS tB
critics	▁wG tL twH
critter	▁wG tL o
critters	▁wG tL oS
cro-	▁wG d
croak	▁wG D w
croaker	▁wG D w o
croaking	▁wG D wtB
crochet	▁wG D I p
crocheted	▁wG D I p j
crocheting	▁wG D I p tB
crock	▁wG a w
crocker	▁wG a w o
crockett	▁wG a w tL
crocus	▁wG D w fH
cronies	▁wG D A uS
cronkite	▁wG aA w gL
crook	▁wG Nw
crooked	▁wG Nw f j
crookedest	▁wG Nw tj tHL
crookedness	▁wG Nw tj A tH
crooks	▁wG N wH
crop	▁wG aF
cropped	▁wG aF L
cropping	▁wG aF tB
crops	▁wG aF H
cros	▁wG d H
crosby	▁wG d S hu
cross	▁wG d H
cross-referencing	▁wG d H G l q fG tAH tB
cross-stitch	▁wG d HL t i
cross-stitching	▁wG d HL t i tB
cross-stitching's	▁wG d H HL t i tB S
crossed	▁wG d HL
crosses	▁wG d H tS
crossfire	▁wG d H q gG
crossing	▁wG d H tB
crossover	▁wG d HD Po
crossroads	▁wG d H G D j S
crosswise	▁wG d H Q gS
crossword	▁wG d H Q oj
crosswords	▁wG d H Q oj S
croutons	▁wG O L aA S
crow	▁wG D
crowd	▁wG e j
crowd's	▁wG e j S
crowd-	▁wG e j
crowded	▁wG e j tj
crowding	▁wG e j tB
crowds	▁wG e j S
crown	▁wG eA
crowns	▁wG eA S
cruces	▁wG O H uS
crucial	▁wG O I fx
crucified	▁wG O H tq gj
crucifixion	▁wG O H tq tw ItA
crucify	▁wG O H tq g
crud	▁wG c j
cruddy	▁wG c ju
crude	▁wG Oj
crudely	▁wG Oj xu
crue	▁wG O
cruel	▁wG Ox
cruelty	▁wG Ox L u
crui-	▁wG O
cruise	▁wG O S
cruised	▁wG O S j
cruiser	▁wG O S o
cruises	▁wG O S tS
cruising	▁wG O S tB
crum	▁wG cz
crum's	▁wG cz S
crumble	▁wG cz h m
crumbling	▁wG cz h x tB
crumbs	▁wG cz S
crummy	▁wG cz u
crumpled	▁wG cz F m j
crunch	▁wG cA i
crunchers	▁wG cA i oS
crunches	▁wG cA i tS
crunchiness	▁wG cA i uA tH
crunching	▁wG cA i tB
crunchy	▁wG cA i u
crusade	▁wG O H p j
crush	▁wG c I
crushed	▁wG c I L
crusher	▁wG c I o
crushers	▁wG c I oS
crushes	▁wG c I tS
crushing	▁wG c I tB
crust	▁wG cHL
crusts	▁wG cHL H
crutches	▁wG c i tS
crutchfield	▁wG c i q u xj
crux	▁wG c wH
cruz	▁wG O S
crx's	▁Hu aG lwH tS
cry	▁wG g
crying	▁wG g tB
crypt	▁wG tF L
cryptograms	▁wG tF L f r G b zS
crystal	▁wG tHL fx
crystals	▁wG tHL fx S
csonka	▁i d A w f
cu	▁wc
cu-	▁w
cu-	▁wc
cu-	▁w RO
cub	▁wc h
cuba	▁w RO h f
cuba's	▁w RO h f S
cuban	▁w RO h fA
cubans	▁w RO h fA S
cubbies	▁wc h uS
cubbyhole	▁wc hu s D x
cube	▁w RO h
cubes	▁w RO h S
cubic	▁w RO h tw
cubicles	▁w RO h twfx S
cubs	▁wc h S
cuckoo	▁w Nw O
cucumber	▁w RO w cz ho
cucumbers	▁w RO w cz h oS
cuddle	▁wc j fx
cuddled	▁wc j fx j
cues	▁w RO S
cuff	▁w cq
cuisinart	▁wQ uS tA aGL
cuisine	▁wQ tS uA
cuisines	▁wQ tS uA S
cujo	▁w O v D
cul-	▁wc x
cul-de-s-	▁w N xj fH
cul-de-sac	▁wc xj fH b w
culinary	▁wc x tA lGu
culled	▁wc xj
cullentini's	▁wc x tAL tA uS
culling	▁wc x tB
culottes	▁w N x aL H
culp	▁wc x F
culprit	▁wc x F G tL
cultivate	▁wc x L tP pL
cults	▁wc x L H
cultural	▁wc x i fG fx
cultural	▁wdx i fG fx
culturally	▁wc x i fG fxu
culturally	▁wdx i fG fxu
culture	▁wc x i o
culture	▁wdx i o
culture's	▁wc x i oS
cultures	▁wc x i oS
cultures	▁wdx i oS
cum	▁wcz
cumberland	▁wcz ho x fAj
cumberland's	▁wcz ho x fAj S
cumbersome	▁wcz h oH fz
cuminado	▁w R N z tA a j D
cummins	▁wcz tA S
cumulative	▁w RO z R fx fL tP
cunningham	▁w cA tB s b z
cuomo	▁wQ D z D
cuomo's	▁wQ D z DS
cup	▁wc F
cupboard	▁wc h oj
cupboards	▁wc h oj S
cupcake	▁wc F wp w
cupertino	▁w O F oL uA D
cups	▁wc F H
cur-	▁w o
curb	▁w o h
curbed	▁w o h j
curbs	▁w o h S
curbside	▁w o h H gj
curbstone	▁w o h HL D A
curd	▁w oj
cure	▁w R NG
cure-	▁w R NG
cured	▁w R NG j
cures	▁w R NG S
curfew	▁w o q RO
curi-	▁w R N Gu
curing	▁w R NG tB
curiosity	▁w R N Gu a H tLu
curious	▁w R N Gu fH
curiously	▁w R N Gu fH xu
curl	▁w o x
curled	▁w o xj
curling	▁w o x tB
curls	▁w o x S
curly	▁w o xu
curr-	▁w o G
currency	▁w o G tAH u
current	▁w o G tAL
currently	▁w o G tAL xu
currents	▁w o G tAL H
curricula	▁w fG tw R fx f
curricular	▁w fG tw R fx o
curriculum	▁w fG tw R fx fz
curriculums	▁w fG tw R fx fz S
curried	▁w o Gu j
curry	▁w o Gu
curse	▁w oH
cursed	▁w o HL
cursing	▁w oH tB
cursor	▁w oH o
cursory	▁w oH f Gu
curtail	▁w oL p x
curtailed	▁w oL p xj
curtain	▁w oL n
curtains	▁w oL n S
curtis	▁w oL tH
curve	▁w o P
curved	▁w o P j
curves	▁w o P S
curving	▁w o P tB
cus-	▁wc H
cushion	▁w N ItA
cushions	▁w N ItA S
cushy	▁w N I u
cuss	▁wc H
custard	▁w cHL oj
custer	▁w cHL o
custer's	▁w cHL oS
custodial	▁w f HL D ju fx
custodians	▁w f HL D ju tA S
custody	▁w cHL f ju
custom	▁w cHL fz
customary	▁w cHL fz lGu
customer	▁w cHL fz o
customer's	▁w cHL fz oS
customers	▁w cHL fz oS
customize	▁w cHL fz gS
customized	▁w cHL fz gS j
customs	▁w cHL fz S
cut	▁wc L
cut-	▁wc L
cutback	▁wc L h b w
cutbacks	▁wc L h b wH
cute	▁w RO L
cutest	▁w RO L tHL
cutesy	▁w RO L H u
cutie	▁w RO L u
cutlass	▁wc L x tH
cutoff	▁wc L d q
cutout	▁wc L eL
cuts	▁wc L H
cutt-	▁wc L
cutters	▁wc L oS
cutthroat	▁wc L M G DL
cutting	▁wc L tB
cuttings	▁wc L tB S
cy	▁H g
cyanide	▁H g fA gj
cyc-	▁H tw
cycle	▁H g w fx
cycled	▁H g w fx j
cycles	▁H g w fx S
cyclical	▁H tw x twfx
cycling	▁H g w x tB
cyclist	▁H g w x tHL
cylinder	▁H tx t Ajo
cylinders	▁H tx t Aj oS
cynical	▁H tA twfx
cynicism	▁H tA tH tS fz
cynthia	▁H tA M u f
cypress	▁H g F G tH
czar	▁ S aG
czar's	▁ S aG S
czars	▁ S aG S
czechoslovakia	▁i lw fH x f P a w u f
czechoslovakian	▁i lw fH x f P a w u tA
d'arby	▁j aG hu
d'oeuvre	▁j o P
d'oeuvres	▁j o P S
d-	▁j
d.	▁j u
d.'s	▁j uS
d._a.	▁j u p
d._a.'s	▁j u pS
d._c.	▁j u H u
d._c.'s	▁j u H uS
d._f._m.	▁j u l q lz
d._f._w.	▁j u l q j c hfx RO
d._i._a.	▁j u g p
d._i._s.	▁j u g lH
d._i._s._d.	▁j u g lH ju
d._j.	▁j u v p
d._j._n._s.	▁j u v p lA lH
d._l.	▁j u lx
d._m._c.	▁j u lz H u
d._m._v.	▁j u lz P u
d._m._z.	▁j u l zS u
d._n._a.	▁j u lA p
d._n._b.	▁j u lA hu
d._n._c.	▁j u lA H u
d._p._m._a.	▁j uF u lz p
d._p._w.	▁j uF u j c hfx RO
d._s._p.	▁j u lH F u
d._v.	▁j u P u
d._w._a.	▁j u j c hfx RO p
d._w._i.	▁j u j c hfx RO g
d._w._i.'s	▁j u j c hfx RO gS
d._x.	▁j u lwH
da	▁j a
da-	▁j a
da-	▁j b
da-	▁j b wH t Aj H
dab	▁j b h
dabble	▁j b hfx
dabbled	▁j b hfx j
dachshund	▁j b wH t Aj
dachshund	▁j b wH tAL
dachshunds	▁j b wH t Aj H
dachshunds	▁j b wH tAL H
dad	▁j b j
dad's	▁j b j S
dad-in-law's	▁j b j tA x d S
daddies	▁j b j uS
daddy	▁j b ju
daddy's	▁j b j uS
daders	▁j u p ju oH
dadgum	▁j b j r cz
dado	▁jp j D
dads	▁j b j S
daffodil	▁j b q f j tx
daffodils	▁j b q f j tx S
daffy	▁j b q u
dah	▁j f
dahlmer	▁j dx z o
dahmer	▁j a z o
dahran	▁j aG aA
dailies	▁jp xu S
daily	▁jp xu
dainty	▁jp AL u
dairies	▁jp Gu S
dairy	▁jp Gu
daisy	▁j pS u
dakota	▁j f w DL f
dakotas	▁j f w DL f S
dal-	▁j bx
dale	▁jp x
dalgren	▁j a x r G tA
dalhart	▁j bx s aGL
dall-	▁j bx
dallas	▁j bx fH
dallas'	▁j bx fH
dallasite	▁j bx fH gL
dalmarva	▁j bx z b G P a
dalmatian	▁j bx z pItA
dalmatians	▁j bx z pItA S
dals	▁j a x S
daltons	▁j dx L fA S
dam	▁j b z
dam-	▁j b z
damage	▁j b z tv
damaged	▁j b z tv j
damages	▁j b z tv tS
damaging	▁j b z tv tB
damascus	▁j fz bH w fH
dame	▁j pz
damme	▁j b z
dammed	▁j b z j
damn	▁j b z
damndest	▁j b z j tHL
damned	▁j b z j
damon	▁j pz fA
damp	▁j b zF
dampener	▁j b zF A o
damper	▁j b zF o
dampness	▁j b zF A tH
dams	▁j b zS
dan	▁j bA
dan's	▁j bA S
dan-	▁j pA
dana	▁j pA f
danc-	▁j bA H
dance	▁j bA H
danced	▁j bA HL
dancer	▁j bA H o
dancers	▁j bA H oS
dances	▁j bA H tS
dancing	▁j bA H tB
dandelion	▁j bAj tx g fA
dandelions	▁j bAj tx g fA S
dandruff	▁j bAj G f q
dandy	▁j bAj u
dane	▁j pA
danes	▁j pA S
danforth	▁j bA qDG M
dang	▁j b B
danger	▁j pAv o
dangerfield	▁j pAv o q u xj
dangerous	▁j pAv fG fH
dangers	▁j pAv oS
dangling	▁j b B r fx tB
daniel	▁j bA R fx
danielle	▁j bA R lx
daniels	▁j bA R fx S
danny	▁j bA u
danny's	▁j bA uS
danson	▁j bA H fA
dantely	▁j b AL l xu
danza	▁j bA S f
daphne	▁j b q A u
dapper	▁j b F o
darc	▁j aG w
dare	▁j pG
dares	▁j pG S
daring	▁j pG tB
dark	▁j aG w
darker	▁j aG w o
darkman	▁j aG w z fA
darkness	▁j aG w A tH
darkroom	▁j aG w G O z
darlene	▁j aG xu A
darling	▁j aG x tB
darn	▁j aG A
darndest	▁j aG Aj tHL
darned	▁j aG Aj
darns	▁j aG A S
darrell	▁j b G fx
darryl	▁j b G fx
dart	▁j aGL
dart's	▁j aGL H
darts	▁j aGL H
dash	▁j b I
dashboard	▁j b I h DG j
dashes	▁j b I tS
dashing	▁j b I tB
data	▁j bL f
data	▁j pL f
database	▁j bL fh pH
databases	▁j bL fh pH tS
dataease	▁j bL f uS
date	▁j pL
dated	▁j pL tj
dates	▁j pL H
dating	▁j pL tB
datsun	▁j aL H fA
datsuns	▁j aL H fA S
daugh-	▁j d
daught-	▁j dL
daughter	▁j dL o
daughter's	▁j dL oS
daughter-in-law	▁j dL fG tA x d
daughter-in-law's	▁j dL o tA x d S
daughters	▁j dL oS
daughters-in-laws	▁j dL oS tA x d S
daur	▁j d G
dave	▁jp P
david	▁jp P tj
davidson	▁jp P tj H fA
davis	▁jp P tH
davy	▁jp P u
dawdle	▁j d j fx
dawes	▁j d S
dawn	▁j d A
dawned	▁j d Aj
dawns	▁j d A S
day	▁jp
day'll	▁jp fx
day's	▁j pS
day-to-day	▁j pL f j p
daydream	▁jp j Gu z
daylight	▁jp x gL
daylilies	▁jp x tx tS
days	▁j pS
dayt-	▁j pL
daytime	▁j pL gz
daytimes	▁j pL gz S
dayton	▁j pL n
daytona	▁j pL D A f
daytonas	▁j pL D A f S
dcom	▁j u w a z
de	▁j l
de-	▁j
de-	▁j f
de-	▁j l
de-	▁j t
de-	▁j u
dea	▁j u u g
dea-	▁j l
dea-	▁j u
dea-	▁j ux o
deacons	▁j u w fA S
deactivated	▁j u bwL tP pL tj
dead	▁j lj
dead's	▁j lj S
deader	▁j lj o
deadliest	▁j lj xu tHL
deadline	▁j lj x g A
deadlocked	▁j lj x a wL
deadly	▁j lj xu
deaf	▁j l q
deal	▁j ux
dealer	▁j ux o
dealer's	▁j ux oS
dealers	▁j ux oS
dealership	▁j ux o I tF
dealerships	▁j ux o I tF H
dealie	▁j u xu
dealing	▁j ux tB
dealings	▁j ux tB S
deals	▁j ux S
dealt	▁j lx L
dean	▁j uA
dean's	▁j uA S
deanna	▁j u bA f
deanne	▁j u bA
deans	▁j uA S
dear	▁j uG
dearborn	▁j uG h DG A
dearly	▁j uG xu
death	▁j l M
death's	▁j l M H
deaths	▁j l M H
deb	▁j l h
deba-	▁j t h p
debacle	▁jp h a w fx
debatable	▁j t h pL fh fx
debate	▁j t h pL
debated	▁j t h pL tj
debates	▁j t h pL H
debating	▁j t h pL tB
debbie	▁j l hu
debilitated	▁j fh tx tL pL tj
debit	▁j l h tL
debiting	▁j l h tL tB
debits	▁j l h tLH
debone	▁j t h D A
debris	▁j fh Gu
debt	▁j lL
debtor	▁j lL o
debtor's	▁j lL oS
debts	▁j lL H
debtwise	▁j lL Q gS
debunking	▁j u hc B wtB
debussy	▁j l h R fH u
debut	▁jp h RO
dec-	▁jtH
decade	▁j l wp j
decades	▁j l wp j S
decay	▁j tw p
decaying	▁j tw p tB
deceased	▁jtH u HL
deceit	▁jtH u L
deceived	▁jtH u P j
deceiving	▁jtH u P tB
decelerating	▁jtH lx fG pL tB
december	▁jtH lz ho
decent	▁j u H tAL
deceptive	▁jtH lF L tP
deci-	▁jtH g
deci-	▁jtH t
decide	▁jtH gj
decided	▁jtH gj tj
decidedly	▁jtH gj tj xu
decides	▁jtH gj S
deciding	▁jtH gj tB
decifit	▁j lH u q u L
decimal	▁j lH tz fx
decimated	▁j lH tz pL tj
decimeter	▁j lH tz u L o
decipher	▁jtH g q o
decision	▁jtH t T tA
decision's	▁jtH t T tA S
decisions	▁jtH t T tA S
decisive	▁jtH g H tP
deck	▁j lw
deck-	▁j lw
decked	▁j lwL
decker	▁j lw o
decking	▁j l wtB
decks	▁j lwH
declare	▁j tw x pG
declared	▁j tw x pG j
declaring	▁j tw x pG tB
declawed	▁j u w x d j
decline	▁j tw x g A
declined	▁j tw x gAj
declining	▁j tw x g A tB
decode	▁j u w D j
decoding	▁j u w D j tB
decomposable	▁j u w fz F DS fh fx
decompose	▁j u w fz F DS
decomposed	▁j u w fz F DS j
decomposes	▁j u w fz F DS tS
decontrolling	▁j u w fAL G D x tB
decor	▁jp w DG
decor-	▁j lw fG
decorate	▁j lw fG pL
decorated	▁j lw fG pL tj
decorating	▁j lw fG pL tB
decoration	▁j lw fG pItA
decorations	▁j lw fG pItA S
decorative	▁j lw fG fL tP
decorator	▁j lw fG pL o
decorous	▁j lw fG tH
decorum	▁j tw DG fz
decrease	▁j tw Gu H
decreased	▁j tw Gu HL
decreases	▁j tw Gu H tS
decreasing	▁j tw Gu H tB
decree	▁j tw Gu
decrimi	▁jp w G tz t
decriminalizing	▁j u w G tz tA fx gS tB
dedicate	▁j lj tw pL
dedicated	▁j lj tw pL tj
dedication	▁j lj tw pItA
deduc-	▁jtj c w
deduce	▁jtj O H
deduct	▁jtj c wL
deducted	▁jtj c wL tj
deductible	▁jtj c wL fh fx
deductible's	▁jtj c wL fh fx S
deductibles	▁jtj c wL fh fx S
deducting	▁jtj c wL tB
deduction	▁jtj c w ItA
deductions	▁jtj c w ItA S
deductor	▁jtj c wL o
dee	▁j u
deed	▁j u j
deeded	▁j u j tj
deedee	▁j u ju
deeds	▁j u j S
deejays	▁j u v pS
deem	▁j u z
deemed	▁j u z j
deep	▁j uF
deep-rooted	▁j uF G N L tj
deeper	▁j uF o
deeply	▁j uF xu
deer	▁j uG
deers	▁j uG S
def-	▁j l q
default	▁jtq dx L
defaults	▁jtq dx L H
defeat	▁jtq u L
defeated	▁jtq u L tj
defeating	▁jtq u L tB
defeats	▁jtq u L H
defect	▁jtq lwL
defective	▁jtq lwL tP
defen-	▁jtq lA
defend	▁jtq lAj
defendant	▁jtq lAj tAL
defendant's	▁jtq lAj tAL H
defendants	▁jtq lAj tAL H
defended	▁jtq lAj tj
defender	▁jtq lAj o
defenders	▁jtq lAj oS
defending	▁jtq lAj tB
defends	▁jtq lAj S
defense	▁jtq lA H
defense's	▁jtq lA H tS
defenses	▁jtq lA H tS
defensive	▁jtq lA H tP
defensives	▁jtq lA H tP H
deferred	▁jtq oj
defi-	▁j l q t
defiantly	▁jtq g tAL xu
deficiencies	▁jtq t ItA H uS
deficiency	▁jtq t ItA H u
deficient	▁jtq tI tAL
deficit	▁j l q tH tL
deficit's	▁j l q tH tLH
deficits	▁j l q tH tLH
define	▁jtq g A
defined	▁jtq gAj
defines	▁jtq g A S
defini-	▁j l q tA t
defining	▁jtq g A tB
definite	▁j l q tA tL
definitely	▁j l q tA tL xu
definition	▁j l q tA t ItA
definitions	▁j l q tA t ItA S
definitive	▁jtq tA tL tP
deflationary	▁jtq x pItA lGu
deflator	▁jtq x pL o
defoliants	▁j u q D xu tAL H
defray	▁jtq G p
defraying	▁jtq G p tB
defrays	▁jtq G pS
defrost	▁jtq G d HL
defrosting	▁jtq G d HL tB
defunct	▁jtq c B wL
deg-	▁j f r
degenerates	▁j tv lA fG tLH
degenerating	▁j tv lA fG pL tB
degenerative	▁j tv lA fG fL tP
degrade	▁j tr G p j
degraded	▁j tr G p j tj
degrading	▁j tr G p j tB
degray	▁j u r G p
degree	▁j f r Gu
degreed	▁j f r Gu j
degrees	▁j f r Gu S
deinking	▁j u tB wtB
dekalb	▁j tw bx h
del	▁j lx
del-	▁j lx
delancey	▁j fx bA H u
delancy	▁j fx bA H u
delaware	▁j lx f Q pG
delay	▁j fx p
delayed	▁j fx p j
delays	▁j fx pS
delco	▁j lx w D
delegate	▁j lx f r pL
delegates	▁j lx f r pL H
deleted	▁j t xu L tj
deleting	▁j t xu L tB
delford	▁j lx q oj
deli	▁j l xu
deli-	▁j tx t
deliberate	▁j tx t h fG pL
deliberated	▁j tx t h fG pL tj
deliberately	▁j tx t h fG tL xu
deliberating	▁j tx t h fG pL tB
deliberation	▁j tx t h fG pItA
deliberations	▁j tx t h fG pItA S
delicacies	▁j lx tw fH uS
delicacy	▁j lx tw fH u
delicate	▁j lx tw fL
delicately	▁j lx tw fL xu
delicatessen	▁j lx tw fL lH fA
delicious	▁j tx tI tH
delight	▁j tx gL
delighted	▁j tx gL tj
delightful	▁j tx gL q fx
delights	▁j tx gL H
delineated	▁j tx tA u pL tj
delinquency	▁j tx tB w Q tAH u
delinquent	▁j tx tB w Q tAL
delinquents	▁j tx tA w Q tAL H
deliver	▁j tx t Po
deliverance	▁j tx tP fG tAH
delivered	▁j tx t Po j
delivering	▁j tx tP fG tB
delivers	▁j tx t Po S
delivery	▁j tx tP f Gu
dell	▁j lx
dells	▁j lx S
delphene	▁j lx q tA
delta	▁j lx L f
deltaing	▁j lx L f tB
